entity_token_length,count,percentage
1,464943,66.69903998990067
2,173832,24.937309561654683
3,42784,6.137637789853617
4,11231,1.611158611112705
5,3034,0.4352466589008946
6,890,0.1276761787810798
7,267,0.038302853634323945
8,75,0.0107592285489674
9,16,0.002295302090446379
10,4,0.0005738255226115948
